movieId,title,genres,imdbId,tmdbId,poster_url,title_pt
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,https://image.tmdb.org/t/p/w500/6AafgfifXkFS4g2xGJZIwsPQK6P.jpg,Toy Story: Um Mundo de Aventuras
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,https://image.tmdb.org/t/p/w500/cHfIIcumOjNvXMqobR94jCg9sPI.jpg,Jumanji
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,https://image.tmdb.org/t/p/w500/4wGrG45BhrHjPJypQ3Wzf5Eoz74.jpg,Dois Velhos Mais Rabugentos
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,https://image.tmdb.org/t/p/w500/afLVNPUxvBZ5laBeC4BeuOvTVfD.jpg,Falando de Amor
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,https://image.tmdb.org/t/p/w500/jleYA9C53MR7rajS7LUV0xFbzJo.jpg,O Pai da Noiva II
6,Heat (1995),Action|Crime|Thriller,113277,949.0,https://image.tmdb.org/t/p/w500/cv1ZuY874Q0uqFkURO8hjI2471z.jpg,Fogo Contra Fogo
7,Sabrina (1995),Comedy|Romance,114319,11860.0,https://image.tmdb.org/t/p/w500/i8PbLJDPU7vCwwscWD625oHbJy.jpg,Sabrina
8,Tom and Huck (1995),Adventure|Children,112302,45325.0,https://image.tmdb.org/t/p/w500/rl9dOgbCgVzRf8azMtnom7M11D4.jpg,Tom e Huck: Em Busca do Grande Tesouro
9,Sudden Death (1995),Action,114576,9091.0,https://image.tmdb.org/t/p/w500/vBu3ggozN5xJjUzrkYgAVoI7LLI.jpg,Morte Súbita
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,https://image.tmdb.org/t/p/w500/iy2lzurX2whm3AmbQZboYzWHEua.jpg,007 Contra GoldenEye
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,https://image.tmdb.org/t/p/w500/7qiiGueGWLAcTNPx8synnpKBNVZ.jpg,Meu Querido Presidente
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,https://image.tmdb.org/t/p/w500/jDdOCWn2Ugn8fUeojarlyjzgw8M.jpg,"Drácula: Morto, mas Feliz"
13,Balto (1995),Adventure|Animation|Children,112453,21032.0,https://image.tmdb.org/t/p/w500/vytLPTTIc82m9KAcuqk8svwqdoL.jpg,Balto
14,Nixon (1995),Drama,113987,10858.0,https://image.tmdb.org/t/p/w500/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,Nixon
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,https://image.tmdb.org/t/p/w500/arv8NOL2eOKcOs54PCXj7EsOiZ6.jpg,A Ilha da Garganta Cortada
16,Casino (1995),Crime|Drama,112641,524.0,https://image.tmdb.org/t/p/w500/5tch5Gllpawf5triVw4cSsIQHTV.jpg,Cassino
17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,https://image.tmdb.org/t/p/w500/avfV8Se2eTfmFAZf0aAPOdq2WcV.jpg,Razão e Sensibilidade
18,Four Rooms (1995),Comedy,113101,5.0,https://image.tmdb.org/t/p/w500/6lNBW7dohayBDxNZlHnve6UlPSP.jpg,Grande Hotel
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,https://image.tmdb.org/t/p/w500/2TmlbjEQ6DFWI2YFrS4MTmgIWOs.jpg,Ace Ventura 2: Um Maluco na África
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,https://image.tmdb.org/t/p/w500/g0ZcQL4stFhW7fAJrEaEYTxLEdE.jpg,Assalto sobre Trilhos
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,https://image.tmdb.org/t/p/w500/hI8GquLtmW5ykLGSigL9wg0Cbl7.jpg,O Nome do Jogo
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,https://image.tmdb.org/t/p/w500/4jf2ZtreVJjog3b8zNkjvGVitv3.jpg,Copycat - A Vida Imita a Morte
23,Assassins (1995),Action|Crime|Thriller,112401,9691.0,https://image.tmdb.org/t/p/w500/7R67Xk5JjfGoBo2Z4MV33nfJg2k.jpg,Assassinos
